LoanID,CustomerID,BranchID,LoanOfficerEmployeeID,LoanType,LoanStatus,ApplicationDate,DecisionDate,DisbursementDate,RequestedAmount,ApprovedAmount,DisbursedAmount,OutstandingBalance,InterestRate,TermMonths,MonthlyPayment,DaysDelinquent,CollateralType,CollateralValue,PurposeDescription,RejectionReason,CreatedAt,UpdatedAt
LN0000069,CUST002028,BRN0022,EMP00050,Business Loan,Disbursed,2024-09-13,2024-09-25,2024-09-26,105230.18,97275.56,96385.2,13358.23,4.534,120,1009.74,0,None,161213.67,Investment,,2024-09-13 00:00:00,2025-03-27 00:00:00
LN0000070,CUST004271,BRN0011,EMP00070,Student Loan,Approved,2022-11-12,2022-11-30,,5419.42,4756.53,,,23.6866,240,94.76,0,Property,194506.98,Renovation,,2022-11-12 00:00:00,2023-07-18 00:00:00
LN0000071,CUST001597,BRN0037,EMP00072,Credit Card,Disbursed,2024-02-07,2024-02-15,2024-02-28,49515.14,43132.36,42275.22,31484.32,13.7593,60,998.24,0,Property,377202.74,,,2024-02-07 00:00:00,2024-06-22 00:00:00
LN0000072,CUST008654,BRN0035,EMP00047,Home Mortgage,Closed,2018-07-29,2018-08-09,2018-08-15,20009.77,15956.42,15757.56,5508.34,14.1569,180,214.18,0,Guarantor,,Working capital,,2018-07-29 00:00:00,2020-01-23 00:00:00
LN0000073,CUST009593,BRN0026,EMP00185,Auto Loan,Pending,2019-02-19,,,4997.81,,,,6.4166,60,97.59,0,Property,35738.16,Personal use,,2019-02-19 00:00:00,2020-10-06 00:00:00
LN0000074,CUST004124,BRN0003,EMP00314,Student Loan,Disbursed,2018-03-24,2018-04-09,2018-04-19,13268.24,9443.34,8992.28,4429.76,9.7955,360,81.45,0,Cash Deposit,,Investment,,2018-03-24 00:00:00,2019-12-30 00:00:00
LN0000075,CUST001766,BRN0029,EMP00372,Credit Card,Disbursed,2022-03-28,2022-04-16,2022-04-20,24958.7,17471.91,17355.94,10200.06,13.1072,36,589.6,0,None,180314.05,Emergency,,2022-03-28 00:00:00,2022-04-15 00:00:00
LN0000076,CUST003267,BRN0034,EMP00046,Personal Loan,Pending,2021-05-20,,,8155.17,,,,13.442,48,220.58,0,Property,2707.04,Renovation,,2021-05-20 00:00:00,2022-10-14 00:00:00
LN0000077,CUST002730,BRN0017,EMP00079,Personal Loan,Pending,2021-01-31,,,19951.26,,,,21.0811,360,351.16,0,Cash Deposit,92150.74,Vehicle purchase,,2021-01-31 00:00:00,2022-07-20 00:00:00
LN0000078,CUST006497,BRN0008,EMP00169,Student Loan,Approved,2019-02-05,2019-03-04,,12175.61,9082.15,,,6.7684,48,216.51,0,Vehicle,,Medical expenses,,2019-02-05 00:00:00,2019-11-02 00:00:00
LN0000079,CUST009388,BRN0041,EMP00137,Business Loan,Approved,2023-02-20,2023-03-14,,64654.13,48122.52,,,13.893,84,898.97,0,Property,,Renovation,,2023-02-20 00:00:00,2023-10-18 00:00:00
LN0000080,CUST005369,BRN0023,EMP00066,Home Mortgage,Rejected,2020-04-25,2020-05-22,,47686.62,,,,12.6409,36,1598.51,0,,62919.38,Home purchase,Incomplete documents,2020-04-25 00:00:00,2021-04-15 00:00:00
LN0000081,CUST000237,BRN0004,EMP00080,Home Mortgage,Rejected,2019-06-13,2019-06-29,,8368.54,,,,20.7452,180,151.6,0,Guarantor,,Home purchase,Low credit score,2019-06-13 00:00:00,2019-10-11 00:00:00
LN0000082,CUST005803,BRN0030,EMP00231,Credit Card,Disbursed,2020-03-21,2020-03-30,2020-04-11,19643.14,14963.08,14731.33,3161.48,11.0933,24,698.05,0,Equipment,202455.15,Debt consolidation,,2020-03-21 00:00:00,2022-01-18 00:00:00
LN0000083,CUST002187,BRN0036,EMP00399,Personal Loan,Approved,2021-04-23,2021-05-06,,6027.11,5340.88,,,15.5714,360,69.98,0,Vehicle,,Debt consolidation,,2021-04-23 00:00:00,2022-04-06 00:00:00
LN0000084,CUST004291,BRN0019,,Business Loan,Disbursed,2019-12-14,2019-12-23,2019-12-29,100820.6,79321.81,77995.38,39886.06,6.0869,240,572.27,0,Equipment,50650.41,Personal use,,2019-12-14 00:00:00,2021-10-24 00:00:00
LN0000085,CUST003659,BRN0048,EMP00002,Credit Card,Disbursed,2020-07-04,2020-07-22,2020-07-26,43349.09,35702.15,35320.97,20865.6,15.1372,60,851.93,0,Equipment,,Education,,2020-07-04 00:00:00,2021-04-08 00:00:00
LN0000086,CUST009662,BRN0041,EMP00076,Personal Loan,Disbursed,2018-11-06,2018-11-25,2018-12-05,32564.29,27914.16,26960.48,1617.31,19.077,360,445.29,0,Guarantor,75416.47,,,2018-11-06 00:00:00,2020-03-10 00:00:00
LN0000087,CUST001194,BRN0020,,Student Loan,Disbursed,2018-11-02,,2018-12-02,31125.25,26455.64,26362.73,227.62,8.3038,12,2305.05,0,Equipment,,Equipment purchase,,2018-11-02 00:00:00,2019-09-12 00:00:00
LN0000088,CUST002744,BRN0007,EMP00148,Home Mortgage,Disbursed,2023-04-08,2023-04-17,2023-04-24,186215.56,182264.05,178129.76,101751.72,6.3775,12,15718.46,0,None,38266.32,Emergency,,2023-04-08 00:00:00,2023-07-10 00:00:00
LN0000089,CUST003593,BRN0033,EMP00254,Business Loan,Disbursed,2023-09-23,2023-10-06,2023-10-11,118467.83,86720.39,86637.09,30603.27,21.7368,48,2719.84,0,None,98557.54,Medical expenses,,2023-09-23 00:00:00,2025-03-02 00:00:00
LN0000090,CUST001269,BRN0036,EMP00452,Credit Card,Disbursed,2022-06-01,2022-06-12,2022-06-16,70698.75,68815.59,66765.54,23111.94,8.192,60,1401.66,0,Cash Deposit,128397.61,Debt consolidation,,2022-06-01 00:00:00,2022-09-01 00:00:00
LN0000091,CUST008247,BRN0006,EMP00278,Credit Card,Disbursed,2023-06-11,2023-07-08,2023-07-17,29903.02,21631.38,20697.45,15340.08,19.7715,60,570.35,0,Property,330086.47,Education,,2023-06-11 00:00:00,2023-07-14 00:00:00
LN0000092,CUST008508,BRN0035,EMP00111,Credit Card,Defaulted,2020-02-21,2020-03-15,2020-03-17,111785.99,105998.38,105553.48,49393.95,22.7422,48,3382.45,646,None,114794.74,,,2020-02-21 00:00:00,2020-08-27 00:00:00
LN0000093,CUST006318,BRN0036,EMP00140,Business Loan,Closed,2018-10-10,2018-10-18,2018-10-27,3695.34,2818.94,2699.98,2411.78,22.6602,12,264.73,0,Vehicle,21268.41,Debt consolidation,,2018-10-10 00:00:00,2019-03-08 00:00:00
LN0000094,CUST002158,BRN0024,EMP00394,Personal Loan,Disbursed,2024-12-04,2024-12-28,2025-01-08,45034.21,38136.07,36420.69,17027.15,22.0596,12,3570.42,0,Property,45038.34,Working capital,,2024-12-04 00:00:00,2026-10-20 00:00:00
LN0000095,CUST006219,BRN0003,EMP00390,Credit Card,Rejected,2019-11-23,2019-12-02,,2456.98,,,,18.598,60,63.19,0,None,150257.44,Investment,High DTI,2019-11-23 00:00:00,2021-10-26 00:00:00
LN0000096,CUST002992,BRN0050,EMP00395,Personal Loan,Rejected,2022-01-11,2022-01-16,,3745.56,,,,9.0417,84,60.34,0,Cash Deposit,,Renovation,Low credit score,2022-01-11 00:00:00,2023-01-16 00:00:00
LN0000097,CUST006366,BRN0010,EMP00496,Student Loan,Rejected,2022-04-24,2022-05-05,,294462.5,,,,13.5828,12,26381.17,0,Property,82561.86,Investment,Low credit score,2022-04-24 00:00:00,2022-08-06 00:00:00
LN0000098,CUST005633,BRN0037,EMP00179,Line of Credit,Disbursed,2020-06-24,2020-07-07,2020-07-11,18521.64,15226.96,15070.47,9581.24,18.671,36,555.63,0,Cash Deposit,12953.74,Vehicle purchase,,2020-06-24 00:00:00,2021-02-26 00:00:00
LN0000099,CUST008442,BRN0028,EMP00193,Business Loan,Rejected,2022-05-29,2022-06-05,,56012.79,,,,21.0894,240,999.67,0,None,,Vehicle purchase,Low credit score,2022-05-29 00:00:00,2023-02-19 00:00:00
LN0000100,CUST008942,BRN0049,EMP00427,Credit Card,Approved,2024-06-29,2024-07-24,,143119.47,114693.53,,,22.525,360,,0,None,19906.14,Working capital,,2024-06-29 00:00:00,2025-03-21 00:00:00
LN0000101,CUST002176,BRN0011,EMP00126,Line of Credit,Defaulted,2024-09-09,2024-10-02,2024-10-11,57255.86,44712.59,43490.01,27021.69,17.2486,24,2216.04,587,Cash Deposit,34320.22,Emergency,,2024-09-09 00:00:00,2026-04-05 00:00:00
LN0000102,CUST009573,BRN0041,EMP00265,Personal Loan,Disbursed,2023-12-14,2023-12-28,2024-01-09,19751.26,18534.08,17838.74,1087.03,5.4341,60,353.46,0,Guarantor,,,,2023-12-14 00:00:00,2025-02-26 00:00:00
LN0000103,CUST004193,BRN0008,EMP00163,Business Loan,Disbursed,2023-06-20,2023-07-14,2023-07-20,701243.85,585358.88,582941.76,327351.8,10.158,360,5205.42,0,Property,52408.92,Education,,2023-06-20 00:00:00,2025-01-20 00:00:00
LN0000104,CUST008881,BRN0034,EMP00266,Business Loan,Rejected,2018-05-05,2018-05-28,,146976.98,,,,16.404,360,2024.43,0,Equipment,141777.62,,Incomplete documents,2018-05-05 00:00:00,2020-04-18 00:00:00
LN0000105,CUST008961,BRN0018,EMP00476,Auto Loan,Closed,2021-05-02,2021-05-12,2021-05-21,33482.64,23776.61,22892.75,11717.03,11.4449,180,276.92,0,None,,Working capital,,2021-05-02 00:00:00,2021-09-09 00:00:00
LN0000106,CUST003617,BRN0011,EMP00268,Auto Loan,Disbursed,2023-08-21,2023-08-23,2023-09-03,31278.05,27911.42,27649.89,21938.49,16.256,240,393.69,0,Guarantor,35021.39,Renovation,,2023-08-21 00:00:00,2024-01-18 00:00:00
LN0000107,CUST008838,BRN0024,EMP00495,Personal Loan,Disbursed,2018-04-18,2018-04-23,2018-05-04,153770.32,120691.1,116047.09,28271.66,23.9634,60,3469.47,0,Equipment,,Renovation,,2018-04-18 00:00:00,2019-03-09 00:00:00
LN0000108,CUST006712,BRN0038,EMP00246,Student Loan,Pending,2020-06-07,,,435550.4,,,,11.9666,180,5217.98,0,Property,,Emergency,,2020-06-07 00:00:00,2021-09-28 00:00:00
LN0000109,CUST002056,BRN0008,EMP00070,Student Loan,Closed,2024-12-12,2024-12-14,2024-12-24,187322.24,160347.1,158710.02,52164.23,5.045,120,1704.26,0,Property,90369.76,Personal use,,2024-12-12 00:00:00,2024-12-31 00:00:00
LN0000110,CUST005124,BRN0041,EMP00078,Student Loan,Disbursed,2018-06-09,2018-06-12,2018-06-19,23750.04,23602.05,22827.11,6476.88,5.0867,360,127.95,0,Equipment,,Investment,,2018-06-09 00:00:00,2019-01-08 00:00:00
